Optimizer,Final Energy,Final Error,Total Evals,Time (s),Evals to Chem. Acc.
Velocity Verlet,LiH,-7.862050,2.03e-02,19241
Adaptive VV,LiH,-7.734608,1.47e-01,18281
L-BFGS-B,LiH,-7.861217,2.11e-02,11127
SLSQP,LiH,-7.861907,2.04e-02,9687
COBYLA,LiH,-7.175908,7.06e-01,236
